episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9333333373069763,0.9333333373069763,870.385600021109,1.5688556432724,0.30337581038475037,0.04406212642788887,,0
2,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.7599999904632568,0.7866666913032532,726.0666999500245,1.5678879022598267,0.2990706264972687,0.02271348237991333,,0
3,ridge,5,1,15,0.0,0.0,ridge,ridge,0,1.0,1.0,516.869300045073,1.5562713146209717,0.32120606303215027,0.043494850397109985,,0
4,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9466666579246521,0.9733333587646484,449.9046001583338,1.5629054307937622,0.3113648593425751,0.03139628469944,,0
5,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.7733333110809326,0.800000011920929,477.5931998156011,1.5513638257980347,0.3234820067882538,0.02979324385523796,,0
6,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8933333158493042,0.8666666746139526,418.24010014533997,1.5640186071395874,0.3115670382976532,0.03103320673108101,,0
7,ridge,5,1,15,0.0,0.0,ridge,ridge,0,1.0,1.0,431.4651000313461,1.560060977935791,0.3180778920650482,0.024192489683628082,,0
8,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9200000166893005,0.9333333373069763,420.2341998461634,1.557848334312439,0.31640902161598206,0.026210816577076912,,0
9,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9200000166893005,0.9200000166893005,515.1577999349684,1.5612658262252808,0.31808844208717346,0.03289834409952164,,0
10,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9200000166893005,0.9066666960716248,426.9158001989126,1.5640095472335815,0.3112465441226959,0.031068388372659683,,0
11,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.7733333110809326,0.7733333110809326,422.7880001999438,1.564337968826294,0.30595529079437256,0.024708397686481476,,0
12,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8799999952316284,0.8933333158493042,406.34059999138117,1.5593514442443848,0.3163914978504181,0.0244072787463665,,0
13,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,450.77789993956685,1.555467963218689,0.3248160779476166,0.04560269042849541,,0
14,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.7200000286102295,0.8399999737739563,560.2522999979556,1.569920301437378,0.29334303736686707,0.03896688297390938,,0
15,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8533333539962769,0.8933333158493042,461.9477998930961,1.554048776626587,0.3166908621788025,0.02350793220102787,,0
16,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8799999952316284,0.8666666746139526,411.74950008280575,1.5564601421356201,0.3235394060611725,0.04031965136528015,,0
17,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9866666793823242,0.9866666793823242,461.3448001910001,1.5471514463424683,0.34435680508613586,0.051511988043785095,,0
18,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9466666579246521,0.9066666960716248,466.7615999933332,1.552730679512024,0.3292943239212036,0.031924571841955185,,0
19,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8133333325386047,0.8266666531562805,478.2392999622971,1.5492794513702393,0.33685746788978577,0.02069944143295288,,0
20,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8799999952316284,0.8799999952316284,425.5467997863889,1.567232608795166,0.3047020435333252,0.014686798676848412,,0
21,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8399999737739563,0.8933333158493042,419.522900134325,1.5561617612838745,0.3239407539367676,0.035952430218458176,,0
22,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9866666793823242,0.9599999785423279,410.1955001242459,1.5511492490768433,0.3339971899986267,0.0489121675491333,,0
23,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9466666579246521,0.9333333373069763,430.5205000564456,1.5592340230941772,0.3203427493572235,0.05384545028209686,,0
24,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9599999785423279,0.9733333587646484,439.99659991823137,1.5610910654067993,0.31331583857536316,0.03272108733654022,,0
25,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8399999737739563,0.8933333158493042,420.9673998411745,1.5665473937988281,0.3057118356227875,0.03789738193154335,,0
26,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9466666579246521,0.9599999785423279,419.3917000666261,1.5544086694717407,0.3288680911064148,0.03438432142138481,,0
27,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8399999737739563,0.8666666746139526,419.44149998016655,1.558851957321167,0.3148009181022644,0.03191645070910454,,0
28,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9333333373069763,0.9333333373069763,446.0061998106539,1.558132290840149,0.3202010989189148,0.05619368329644203,,0
29,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9066666960716248,0.9466666579246521,483.5373000241816,1.5611096620559692,0.3158446252346039,0.031749121844768524,,0
30,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9733333587646484,0.9466666579246521,467.9811999667436,1.5559889078140259,0.32229581475257874,0.03086673654615879,,0
31,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9466666579246521,0.9466666579246521,482.11730015464127,1.5590287446975708,0.3162796199321747,0.02887001633644104,,0
32,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.9599999785423279,0.9733333587646484,455.5999001022428,1.5582363605499268,0.32340821623802185,0.029430754482746124,,0
33,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8399999737739563,0.8266666531562805,474.5679998304695,1.5604548454284668,0.31081560254096985,0.027466487139463425,,0
34,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8266666531562805,0.8666666746139526,419.7537999134511,1.5648179054260254,0.31003811955451965,0.02668474242091179,,0
35,ridge,5,1,15,0.0,0.0,ridge,ridge,0,0.8933333158493042,0.9333333373069763,434.42229996435344,1.5699201822280884,0.30008378624916077,0.03610260412096977,,0
