shots,fault_sigma,fault_drop_prob,strategy,episodes,mean_acc,p50_acc,mean_latency_ms,p95_latency_ms,rollback_rate,mean_alerts,ridge_chosen_rate
1,0.0,0.0,agent,200,0.7685,0.7733,405.6436,483.2865,0.0,0.0,0.0
1,0.0,0.0,agent_sentinel,200,0.7578,0.7733,314.381,357.5404,0.0,2.0,0.0
1,0.0,0.0,proto,200,0.7707,0.7733,305.5875,341.516,0.0,0.0,0.0
1,0.0,0.0,ridge,200,0.7458,0.7467,364.48,559.5754,0.0,0.0,1.0
1,0.05,0.0,agent,200,0.3073,0.3,386.901,507.912,0.0,0.0,0.0
1,0.05,0.0,agent_sentinel,200,0.3063,0.3067,348.5977,398.2633,0.0,2.0,0.0
1,0.05,0.0,proto,200,0.3063,0.3067,297.0518,326.9462,0.0,0.0,0.0
1,0.05,0.0,ridge,200,0.3236,0.32,376.3605,536.5409,0.0,0.0,1.0
1,0.1,0.0,agent,200,0.2293,0.2267,437.284,530.7072,0.0,0.0,0.0
1,0.1,0.0,agent_sentinel,200,0.2285,0.2267,424.914,534.1871,0.0,2.01,0.0
1,0.1,0.0,proto,200,0.2261,0.2267,345.5083,402.0464,0.0,0.0,0.0
1,0.1,0.0,ridge,200,0.2293,0.2267,346.913,400.4662,0.0,0.0,1.0
5,0.0,0.0,agent,200,0.886,0.8933,381.403,424.5064,0.0,0.0,0.27
5,0.0,0.0,agent_sentinel,200,0.8995,0.9067,402.7492,534.4746,0.215,2.005,0.215
5,0.0,0.0,proto,200,0.8945,0.9067,476.7548,683.4639,0.0,0.0,0.0
5,0.0,0.0,ridge,200,0.8909,0.8933,384.8005,445.3896,0.0,0.0,1.0
5,0.05,0.0,agent,200,0.4415,0.44,437.3371,510.8421,0.0,0.0,0.2
5,0.05,0.0,agent_sentinel,200,0.4319,0.4267,462.1313,635.2412,0.18,2.015,0.18
5,0.05,0.0,proto,200,0.4357,0.4267,432.2028,505.7048,0.0,0.0,0.0
5,0.05,0.0,ridge,200,0.4397,0.44,439.0142,512.2367,0.0,0.0,1.0
5,0.1,0.0,agent,200,0.2693,0.2667,372.1164,421.2388,0.0,0.0,0.22
5,0.1,0.0,agent_sentinel,200,0.2682,0.2667,374.7042,434.1377,0.22,2.0,0.22
5,0.1,0.0,proto,200,0.2646,0.2667,476.6331,628.4223,0.0,0.0,0.0
5,0.1,0.0,ridge,200,0.2659,0.2667,371.6579,408.48,0.0,0.0,1.0
