episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.2266666740179062,0.2266666740179062,354.72000017762184,1.6053814888000488,0.22467541694641113,0.0,HIGH_ENTROPY|LOW_CONF,2,,
2,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.23999999463558197,0.23999999463558197,347.81419998034835,1.604844093322754,0.22385655343532562,0.0,HIGH_ENTROPY|LOW_CONF,2,,
3,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.41333332657814026,0.41333332657814026,315.4969001188874,1.6050766706466675,0.22576968371868134,0.0,HIGH_ENTROPY|LOW_CONF,2,,
4,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.1733333319425583,0.1733333319425583,352.0030998624861,1.6051337718963623,0.22398501634597778,0.0,HIGH_ENTROPY|LOW_CONF,2,,
5,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.25333333015441895,0.25333333015441895,370.6376999616623,1.6057020425796509,0.22275248169898987,0.0,HIGH_ENTROPY|LOW_CONF,2,,
6,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.20000000298023224,0.20000000298023224,345.17710004001856,1.6062676906585693,0.22094006836414337,0.0,HIGH_ENTROPY|LOW_CONF,2,,
7,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.18666666746139526,0.18666666746139526,347.92619990184903,1.6058939695358276,0.22262005507946014,0.0,HIGH_ENTROPY|LOW_CONF,2,,
8,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.2933333218097687,0.2933333218097687,320.8889001980424,1.6055762767791748,0.22409960627555847,0.0,HIGH_ENTROPY|LOW_CONF,2,,
9,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.2800000011920929,0.2800000011920929,358.25089970603585,1.6054452657699585,0.22362518310546875,0.0,HIGH_ENTROPY|LOW_CONF,2,,
10,agent_sentinel,5,1,15,0.1,0.0,prototype,prototype,0,0.2133333384990692,0.2133333384990692,364.4065000116825,1.6050399541854858,0.22541506588459015,0.0,HIGH_ENTROPY|LOW_CONF,2,,
